n_qubits,n_layers,family,sre_mean,sre_std,sre_min,sre_max
4,32,random,2.2207560618718465,0.12638030682659654,1.9786733388900757,2.4590704441070557
4,34,clifford,2.2361748774846393,0.1119627616265261,1.9469984769821167,2.3589260578155518
4,34,haar,2.2755365212758383,0.111687598659618,2.0439300537109375,2.451770305633545
4,34,quansistor,2.2614121437072754,0.1312125575698553,2.0909714698791504,2.469482183456421
4,34,random,2.2527254104614256,0.13915201828949655,2.004732370376587,2.4641647338867188
4,36,clifford,2.267693106333415,0.11376750098095056,2.121490001678467,2.4964444637298584
4,36,haar,2.266207281748454,0.12358358853258443,2.0892136096954346,2.4709086418151855
4,36,quansistor,2.2963666756947836,0.12778542311386012,2.0163674354553223,2.474921226501465
4,36,random,2.2665629545847574,0.15606991156877356,1.865166425704956,2.4511961936950684
4,38,clifford,2.1993968804677326,0.1304939914817337,1.9222021102905273,2.3477580547332764
4,38,haar,2.2668516794840494,0.11943735826474967,2.016801595687866,2.476815938949585
4,38,quansistor,2.261651643117269,0.08758889227918358,2.104221820831299,2.4315762519836426
4,38,random,2.2030070145924885,0.09711194815486748,2.0291802883148193,2.3842039108276367
4,40,clifford,2.2832708835601805,0.10009747618434575,2.1148416996002197,2.509012460708618
4,40,haar,2.245031229654948,0.12360377563621851,2.025010824203491,2.4349112510681152
4,40,quansistor,2.251224740346273,0.11951987090828069,2.0044758319854736,2.4315567016601562
4,40,random,2.23284596602122,0.138875207811652,1.941969394683838,2.417473554611206
4,42,clifford,2.2447837829589843,0.10352897184084474,2.0481889247894287,2.4012598991394043
4,42,haar,2.2757760842641193,0.09653435370775851,2.056755304336548,2.424511432647705
4,42,quansistor,2.2079066832860312,0.11921142325691747,1.9345711469650269,2.416188955307007
4,42,random,2.202546461423238,0.14146776320351148,1.8584755659103394,2.434997320175171
4,44,clifford,2.2167348861694336,0.13713846137627328,1.9298160076141357,2.40645170211792
4,44,haar,2.2800935745239257,0.15073423495150476,1.932197093963623,2.4458343982696533
4,44,quansistor,2.2862853686014812,0.11039605610925264,2.028437614440918,2.4300296306610107
4,44,random,2.2509503920873004,0.1385312150717328,1.891685128211975,2.45680570602417
4,46,clifford,2.298305877049764,0.12141818867104087,2.0342698097229004,2.421473503112793
4,46,haar,2.2880446275075275,0.10783715395949986,2.0402064323425293,2.4502174854278564
4,46,quansistor,2.261941687266032,0.13367452275561298,1.9450514316558838,2.412961006164551
4,46,random,2.224951148033142,0.144999209689354,1.9159013032913208,2.436286211013794
4,48,clifford,2.24190452893575,0.12570452828710071,1.931056261062622,2.4191620349884033
4,48,haar,2.231968339284261,0.1693034452806483,1.9609214067459106,2.494731903076172
4,48,quansistor,2.222368288040161,0.1595673095345087,1.8612875938415527,2.433647632598877
4,48,random,2.2315752188364666,0.08380620662872455,2.0969276428222656,2.374387502670288
4,50,clifford,2.2484016021092734,0.13754180777662875,1.9449774026870728,2.4251372814178467
4,50,haar,2.2995765209198,0.14600748838136263,2.047879219055176,2.5685510635375977
4,50,quansistor,2.301551040013631,0.12769136032246378,2.007370710372925,2.4506354331970215
4,50,random,2.2794232845306395,0.09787235091557361,2.0640649795532227,2.3885252475738525
